         52189 function calls (51126 primitive calls) in 5.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    2.416    0.805    2.526    0.842 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
        3    1.331    0.444    1.331    0.444 {built-in method pandas._libs.tslib.array_to_datetime}
        6    0.198    0.033    0.198    0.033 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\base.py:1764(is_unique)
       24    0.079    0.003    0.079    0.003 {pandas._libs.lib.infer_dtype}
   122/80    0.075    0.001    0.101    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.065    0.065    5.096    5.096 F:/Numan/Task2.py:9(task2)
        3    0.056    0.019    0.056    0.019 {pandas._libs.tslib.format_array_from_datetime}
       75    0.055    0.001    0.055    0.001 {built-in method numpy.empty}
        9    0.054    0.006    0.080    0.009 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:1860(_stack_arrays)
        3    0.052    0.017    0.052    0.017 {method 'clear' of 'dict' objects}
        3    0.051    0.017    0.051    0.017 {pandas._libs.writers.write_csv_rows}
       18    0.050    0.003    0.050    0.003 {method 'astype' of 'numpy.ndarray' objects}
        6    0.049    0.008    0.049    0.008 {pandas._libs.algos.take_2d_axis1_object_object}
        6    0.046    0.008    0.046    0.008 {pandas._libs.algos.take_2d_axis1_int64_int64}
       18    0.045    0.002    0.045    0.002 {method 'take' of 'numpy.ndarray' objects}
        3    0.042    0.014    2.767    0.922 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\parsers.py:447(_read)
        6    0.030    0.005    0.031    0.005 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\groupby\ops.py:664(_aggregate)
        6    0.024    0.004    0.331    0.055 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\groupby\grouper.py:325(_set_grouper)
        2    0.023    0.012    0.023    0.012 {pandas._libs.algos.take_2d_axis1_float64_float64}
      360    0.022    0.000    0.022    0.000 {built-in method _codecs.utf_8_decode}
        6    0.019    0.003    0.019    0.003 {pandas._libs.algos.take_2d_axis0_int64_int64}
        6    0.018    0.003    0.019    0.003 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexers.py:225(maybe_convert_indices)
        6    0.017    0.003    0.017    0.003 {method 'argsort' of 'numpy.ndarray' objects}
        3    0.016    0.005    0.019    0.006 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\parsers.py:1853(__init__)
        6    0.016    0.003    0.016    0.003 {pandas._libs.algos.ensure_float64}
        6    0.015    0.002    0.015    0.002 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\lib\function_base.py:4310(delete)
        6    0.014    0.002    0.256    0.043 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:1454(take)
        4    0.013    0.003    0.013    0.003 {pandas._libs.algos.take_2d_axis0_float64_float64}
       15    0.010    0.001    0.010    0.001 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\base.py:1696(is_monotonic_increasing)
        6    0.010    0.002    0.079    0.013 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\groupby\ops.py:550(_cython_operation)
       27    0.009    0.000    0.009    0.000 {method 'copy' of 'numpy.ndarray' objects}
        3    0.008    0.003    0.210    0.070 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\datetimelike.py:834(inferred_freq)
  288/285    0.008    0.000    0.008    0.000 {built-in method numpy.array}
        3    0.008    0.003    0.008    0.003 {method 'repeat' of 'numpy.ndarray' objects}
11012/11006    0.008    0.000    0.012    0.000 {built-in method builtins.isinstance}
       24    0.007    0.000    0.191    0.008 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\algorithms.py:1661(take_nd)
       36    0.005    0.000    0.005    0.000 {built-in method numpy.arange}
        6    0.005    0.001    0.085    0.014 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\groupby\generic.py:1094(blk_func)
       72    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        7    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
      578    0.003    0.000    0.009    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:537(is_categorical_dtype)
       11    0.003    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
        6    0.003    0.000    0.003    0.000 {built-in method io.open}
     3908    0.003    0.000    0.003    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\generic.py:30(_check)
        6    0.002    0.000    0.002    0.000 {pandas._libs.lib.maybe_indices_to_slice}
        3    0.002    0.001    0.002    0.001 {pandas._libs.lib.generate_bins_dt64}
        3    0.002    0.001    0.002    0.001 {method 'close' of 'pandas._libs.parsers.TextReader' objects}
